명칭,주소,위도,경도
세종호수공원,세종특별자치시 다솜로 216,,
방축천,세종특별자치시 어진동 450-25,,
국립세종도서관,세종특별자치시 다솜3로 48,,
세종 합강캠핑장,세종특별자치시 태산로 329,,
베어트리파크,세종특별자치시 전동면 신송로 217,,
뒤웅박고을,세종특별자치시 전동면 배일길 90-43,,
3대벚꽃길,세종특별자치시 조치원읍 새내12길 110,,
우주측지 관측센터,세종특별자치시 월산공단로 276-71,,
고복자연공원,세종특별자치시 연서면 도신고복로 586,,
밀마루전망대,세종특별자치시 도움3로 58,,
정부청사 옥상정원,세종특별자치시 도움6로 11,,
비암사,세종특별자치시 전의면 비암사길 137,,
조세박물관,세종특별자치시 국세청로 8-14,,
대통령기록관,세종특별자치시 다솜로 250,,
영평사,세종특별자치시 장군면 영평사길 124,,
국립세종수목원,세종특별자치시 수목원로 136,,
세종중앙공원,세종특별자치시 세종동 1204,,
이응다리,세종특별자치시 세종동 29-111,,
도도리파크,세종특별자치시 조치원읍 문예회관길 27,,
