,명칭,주소,위도,경도
0,세종호수공원,세종특별자치시 다솜로 216,36.492771,127.2653584
1,방축천,세종특별자치시 어진동 450-25,36.5001859,127.2627276
2,국립세종도서관,세종특별자치시 다솜3로 48,36.4988562,127.26835745878444
3,세종 합강캠핑장,세종특별자치시 태산로 329,36.5181663,127.3451946
4,베어트리파크,세종특별자치시 전동면 신송로 217,36.6677309,127.2136933
5,뒤웅박고을,세종특별자치시 전동면 배일길 90-43,36.6705706,127.255944
6,3대벚꽃길,세종특별자치시 조치원읍 새내12길 110,36.6025904,127.3010703
7,우주측지 관측센터,세종특별자치시 월산공단로 276-71,36.522657949999996,127.30321810526144
8,고복자연공원,세종특별자치시 연서면 도신고복로 586,36.5899169,127.2028112
9,밀마루전망대,세종특별자치시 도움3로 58,36.5036098,127.2558571
10,정부청사 옥상정원,세종특별자치시 도움6로 11,36.5059447,127.2626659
11,비암사,세종특별자치시 전의면 비암사길 137,36.6104805,127.1910301
12,조세박물관,세종특별자치시 국세청로 8-14,36.4880586,127.263113
13,대통령기록관,세종특별자치시 다솜로 250,36.501538499999995,127.27325239999999
14,영평사,세종특별자치시 장군면 영평사길 124,36.4757961,127.2384923
15,국립세종수목원,세종특별자치시 수목원로 136,36.5035123,127.2728983
16,세종중앙공원,세종특별자치시 세종동 1204,36.5035892,127.2893301
17,이응다리,세종특별자치시 세종동 29-111,36.5035892,127.2893301
18,도도리파크,세종특별자치시 조치원읍 문예회관길 27,36.5974791,127.28712385369427
